epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3187,2.40827,4.41294,1.44132,0.00905,0.08926,0.00741,0.0039,2.33017,4.31194,1.23264,4.614e-05,4.614e-05,4.614e-05
2,14.3429,2.02165,4.11439,1.32144,0.01712,0.17849,0.04696,0.03336,1.83712,4.24409,1.08574,9.89803e-05,9.89803e-05,9.89803e-05
3,17.9359,1.88454,3.31251,1.21939,0.02319,0.32688,0.17972,0.15456,1.62172,4.03915,0.991,0.000150755,0.000150755,0.000150755
4,24.2875,1.84964,2.59715,1.18891,0.06192,0.48228,0.29606,0.20241,1.64529,3.75119,0.98479,0.000201463,0.000201463,0.000201463
5,30.2147,1.7394,2.22885,1.15722,0.77707,0.19697,0.28738,0.21493,1.58438,3.418,0.98068,0.000251106,0.000251106,0.000251106
6,36.0935,1.72183,1.9594,1.11146,0.8221,0.19175,0.24907,0.1978,1.67915,3.32787,0.9898,0.000299683,0.000299683,0.000299683
7,42.0941,1.6514,1.85897,1.10809,0.67125,0.23064,0.29707,0.21519,1.6615,3.1695,1.02826,0.000347194,0.000347194,0.000347194
8,47.4722,1.62002,1.70573,1.07493,0.71412,0.2102,0.32744,0.23215,1.63581,2.99915,1.03429,0.00039364,0.00039364,0.00039364
9,54.4025,1.61203,1.61472,1.06209,0.53275,0.24536,0.36464,0.267,1.59734,2.7773,1.01481,0.000439019,0.000439019,0.000439019
10,59.7809,1.57876,1.53774,1.04516,0.72226,0.26203,0.3731,0.26756,1.61938,2.64846,1.0249,0.000483333,0.000483333,0.000483333
11,66.4829,1.59847,1.54245,1.05567,0.68758,0.2558,0.38412,0.27396,1.67745,2.40663,1.01582,0.00052658,0.00052658,0.00052658
12,72.5451,1.55083,1.42318,1.02289,0.72079,0.34944,0.4351,0.30432,1.54508,2.05159,0.98684,0.000568762,0.000568762,0.000568762
13,78.9358,1.51656,1.39763,1.00939,0.72236,0.39187,0.43699,0.30785,1.54013,2.01699,0.98147,0.000609879,0.000609879,0.000609879
14,84.0937,1.527,1.39695,1.0329,0.56952,0.37194,0.46645,0.31981,1.574,1.95869,0.9698,0.000649929,0.000649929,0.000649929
15,89.8855,1.49957,1.36063,1.00537,0.67338,0.40847,0.42497,0.28621,1.52609,1.82934,0.97715,0.000662417,0.000662417,0.000662417
16,95.8018,1.53141,1.36257,1.00703,0.61493,0.39,0.41856,0.27896,1.4902,1.66446,0.96992,0.000654804,0.000654804,0.000654804
17,101.28,1.47588,1.34351,1.01942,0.65893,0.47101,0.4308,0.29289,1.54732,1.60221,0.96549,0.00064719,0.00064719,0.00064719
18,108.085,1.46896,1.299,0.99869,0.45952,0.44214,0.4879,0.33276,1.46085,1.54392,0.94934,0.000639577,0.000639577,0.000639577
19,113.549,1.43301,1.28538,0.99097,0.78052,0.46783,0.5133,0.36234,1.46143,1.38667,0.94641,0.000631964,0.000631964,0.000631964
20,119.9,1.37343,1.23525,0.98012,0.65643,0.50879,0.55178,0.36041,1.46154,1.33778,0.94218,0.000624351,0.000624351,0.000624351
