Frame,Minuto_Video,Nuevo_Estado,Zona_Recuperacion
988,0.55,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
1012,0.56,Ataca_Arriba (Visita),Z3_50yd_25yd_Visita
1056,0.59,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
1553,0.86,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
2535,1.41,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
2575,1.43,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
3723,2.07,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
4276,2.38,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
4588,2.55,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
5154,2.87,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
5820,3.24,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
5889,3.27,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
5918,3.29,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
6019,3.35,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
6205,3.45,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
6262,3.48,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
6450,3.59,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
6503,3.62,Ataca_Arriba (Visita),Z2_25yd_50yd_Local
11292,6.28,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
11364,6.32,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
11391,6.33,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
11406,6.34,Ataca_Arriba (Visita),Z3_50yd_25yd_Visita
11508,6.4,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
11524,6.41,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
11544,6.42,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
11571,6.43,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
11663,6.49,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
12232,6.8,Ataca_Arriba (Visita),Z4_25yd_ArcoVisita
13296,7.39,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
13338,7.42,Ataca_Arriba (Visita),Z3_50yd_25yd_Visita
13423,7.46,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
13512,7.51,Ataca_Arriba (Visita),Z2_25yd_50yd_Local
14554,8.09,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
15195,8.45,Ataca_Arriba (Visita),Z2_25yd_50yd_Local
16952,9.43,Ataca_Abajo (Local),Z4_25yd_ArcoVisita
17026,9.47,Ataca_Arriba (Visita),Z3_50yd_25yd_Visita
17203,9.57,Ataca_Abajo (Local),Z3_50yd_25yd_Visita
17237,9.59,Ataca_Arriba (Visita),Z3_50yd_25yd_Visita
